course,ISBN,title,author
ENGL-260,9780495898023,A Glossary of Literary Terms,"M.H. Abrams, Geoffrey Galt Harpham"
ENGL-260,9780451526762,Twelfth Night,William Shakespeare
ENGL-260,9780374525811,Birthday Letters,Ted Hughes
ENGL-260,9780060732608,Ariel,Sylvia Plath
ENGL-260,9780451531384,A Room With a View,E. M. Forster
ENGL-260,9780312542542,A Pocket Style Manual,"Diana Hacker, Nancy Sommers"
ENGL-260,9780226065663,The Craft of Research,"Wayne C. Booth, Gregory G. Colomb, Joseph M. Williams"
ENGL-265,9780073535104,Film Art: An Introduction,"David Bordwell, Kristin Thompson"
ENGL-270,9780393316544,"The Poet's Companion: A Guide to the Pleasures of Writing Poetry","Kim Addonizio, Dorianne Laux"
ENGL-270,9780618082346,Writing in General and the Short Story in Particular,L. Rust Hills
ENGL-270,9780061661587,The Ecco Anthology of Contemporary American Short Fiction,"Joyce Carol Oates, Christopher R. Beha (Editors)"
ENGL-270,9780312676025,The Practice of Creative Writing: A Guide for Student,Heather Sellers
ENGL-270,9780156007627,The Discovery of Poetry: A Field Guide to Reading and Writing Poems,Frances Mayes
ENGL-270,9781590171912,The Stray Dog Cabaret: A Book of Russian Poems,Paul Schmidt
ENGL-270,9780452295292,City of Thieves,David Benioff
ENGL-270,9780321923165,Writing Fiction: A Guide to Narrative Craft,"Janet Burroway, Elizabeth Stuckey-French, Ned Stuckey-French"
ENGL-321,9780803253681,The Virtuoso,Thomas Shadwell
ENGL-321,9780451527714,Frankenstein: Or the Modern Prometheus,Mary Shelley
ENGL-321,9780375758461,The Advancement of Learning,Francis Bacon
ENGL-321,9780141439822,Robinson Crusoe,Daniel Defoe
ENGL-321,9780141439495,"Gulliver's Travels",Jonathan Swift
ENGL-321,9780141441238,Caleb Williams,William Godwin
ENGL-321,9780226042640,Curiosity: A Cultural History of Early Modern Inquiry,Barbara M. Benedict
ENGL-321,9781933633442,"Rasselas, Prince of Abyssinia",Samuel Johnson
ENGL-321,9781554810475,The Broadview Anthology of British Literature: The Restoration and the Eighteenth Century,"Joseph Laurence Black, Leonard Conolly, Kate Flint (Editors)"
ENGL-334,9780307277602,"Like You'd Understand, Anyway",Jim Shepard
ENGL-347,9780140422078,The Faerie Queene,Edmund Spenser
